id,pt_BR,en,es
"GAME_DESC_BATTLESHIP","Encontre e afunde a frota inimiga às cegas.","Find and sink the enemy fleet blind.","Encuentra y hunde la flota enemiga a ciegas."
"GAME_DESC_REVERSI","Vire as peças do adversário e domine o tabuleiro.","Flip your opponent's discs and rule the board.","Voltea las fichas del rival y domina el tablero."
"GAME_DESC_MANCALA","Semeie as covas e junte mais gemas na sua Kalah.","Sow the pits and gather more gems in your store.","Siembra los hoyos y reúne más gemas en tu Kalah."
"GAME_DESC_LUDO","Leve os quatro peões à casa antes dos rivais.","Get all four pawns home before your rivals.","Lleva los cuatro peones a casa antes que tus rivales."
"GAME_DESC_SENET","Lance as varetas sagradas e alcance a eternidade.","Throw the sacred sticks and reach eternity.","Lanza las varillas sagradas y alcanza la eternidad."
"GAME_DESC_PEG_SOLITAIRE","Salte as esferas e deixe apenas uma no tabuleiro.","Jump the pegs and leave just one on the board.","Salta las esferas y deja solo una en el tablero."
"GAME_DESC_MINESWEEPER","Revele o campo inteiro sem detonar nenhuma mina.","Clear the whole field without setting off a mine.","Despeja todo el campo sin detonar ninguna mina."
"GAME_DESC_DOMINO","Encaixe as pedras nas pontas e bata antes da IA.","Match the tiles at the ends and go out before the AI.","Encaja las fichas en los extremos y cierra antes que la IA."
"GAME_DESC_HANOI","Mova a torre inteira de pino em pino, um disco por vez.","Move the whole tower peg by peg, one disc at a time.","Mueve la torre entera de poste en poste, un disco a la vez."
"GAME_DESC_NIM","Retire peças das pilhas — quem leva a última decide.","Take pieces from the heaps — whoever takes the last one decides.","Retira piezas de los montones: quien toma la última decide."
"GAME_DESC_BACKGAMMON","Corra com as quinze peças e retire todas antes do rival.","Race your fifteen checkers home and bear them all off first.","Corre con las quince fichas y retíralas todas antes que el rival."
"GAME_DESC_KLONDIKE","A paciência clássica: as quatro fundações, do ás ao rei.","The classic solitaire: four foundations, ace to king.","El solitario clásico: cuatro fundaciones, del as al rey."
"GAME_DESC_SPIDER","Paciência Spider grátis com desafios diários, coroas e troféus.","Free Spider Solitaire with daily challenges, crowns, and trophies.","Solitario Spider gratis con desafíos diarios, coronas y trofeos."
"GAME_DESC_MEMORY","Vire as cartas e encontre todos os pares.","Flip the cards and find every pair.","Voltea las cartas y encuentra todas las parejas."
"GAME_DESC_BLACKJACK","Chegue o mais perto de 21 sem estourar.","Get as close to 21 as you can without busting.","Acércate lo más posible a 21 sin pasarte."
"GAME_DESC_UNO_LIKE","Descarte todas as cartas combinando cor ou número.","Shed every card by matching color or number.","Descarta todas las cartas combinando color o número."
"GAME_DESC_POKER","Segure as cartas certas e busque a mão premiada.","Hold the right cards and chase the paying hand.","Conserva las cartas correctas y busca la mano premiada."
"SCORE_YOU","você","you","tú"
"SCORE_AI","ia","ai","ia"
"SCORE_PLAYER_1","jogador 1","player 1","jugador 1"
"SCORE_PLAYER_2","jogador 2","player 2","jugador 2"
"SCORE_YOURS","suas","yours","tuyas"
"SCORE_AI_CARDS","da ia","ai's","de la ia"
"SCORE_SUNK","afundou","sunk","hundiste"
"SCORE_LOST","perdeu","lost","perdiste"
"SCORE_MOVES","movimentos","moves","movimientos"
"SCORE_PLAYS","jogadas","moves","jugadas"
"SCORE_PIECES","peças","pieces","piezas"
"SCORE_CHIPS","fichas","chips","fichas"
"SCORE_BET","aposta","bet","apuesta"
"SCORE_YOUR_HAND","sua mão","your hand","tu mano"
"SCORE_TABLE","mesa","table","mesa"
"SCORE_PEGS","esferas","pegs","esferas"
"SCORE_RECORD","recorde","best","récord"
"SCORE_TIME","tempo","time","tiempo"
"SCORE_PAIRS","pares","pairs","parejas"
"SCORE_MINES","minas","mines","minas"
"SCORE_POINTS","pontos","points","puntos"
"SCORE_LEVEL","nível","level","nivel"
"LEVEL","Nível","Level","Nivel"
"SCORE","Pontuação","Score","Puntuación"
"BTN_RESET","Reiniciar","Restart","Reiniciar"
"TICTACTOE_WIN_X","🏆 Vitória do X!","🏆 X Wins!","🏆 ¡Gana la X!"
"TICTACTOE_WIN_X_DESC","Você alinhou 3 peças com sucesso!","You lined up three in a row!","¡Alineaste tres en raya!"
"TICTACTOE_WIN_O","Vitória do O!","O Wins!","¡Gana la O!"
"TICTACTOE_WIN_O_DESC","A IA completou a trinca de ouro.","The AI completed the golden three.","La IA completó el trío dorado."
"TICTACTOE_DRAW_DESC","Nenhum jogador conseguiu alinhar 3 peças.","Neither player got three in a row.","Ningún jugador logró tres en raya."
"TICTACTOE_YOUR_TURN","Sua Vez (Cruz X Carmesim)","Your turn (Crimson X)","Tu turno (X carmesí)"
"TICTACTOE_AI_TURN","Vez do Computador (Anel O Dourado)...","Computer's turn (Golden O)...","Turno del ordenador (O dorada)..."
"TICTACTOE_BTN_VS_AI","🤖 vs IA","🤖 vs AI","🤖 vs IA"
"TICTACTOE_BTN_TWO_PLAYERS","👥 2 Jogadores","👥 2 Players","👥 2 Jugadores"
"TICTACTOE_PLAYER_TURN","Vez do Jogador %d","Player %d's turn","Turno del jugador %d"
"TICTACTOE_WIN_PLAYER","🎉 Vitória do Jogador %d!","🎉 Player %d wins!","🎉 ¡Gana el jugador %d!"
"TICTACTOE_WIN_PLAYER_DESC","O Jogador %d alinhou 3 peças.","Player %d lined up three in a row.","El jugador %d alineó tres en raya."
"CONNECT4_WIN_DESC","Você conectou 4 fichas vermelhas!","You connected four red discs!","¡Conectaste cuatro fichas rojas!"
"CONNECT4_LOSE","Computador Venceu!","The Computer Wins!","¡Gana el ordenador!"
"CONNECT4_LOSE_DESC","A inteligência artificial completou a linha.","The AI completed the line.","La inteligencia artificial completó la línea."
"CONNECT4_DRAW_DESC","O tabuleiro ficou completamente cheio.","The board filled up completely.","El tablero se llenó por completo."
"CONNECT4_YOUR_TURN","Sua Vez (Fichas Vermelhas)","Your turn (Red discs)","Tu turno (fichas rojas)"
"CONNECT4_AI_TURN","Vez da IA (Fichas Douradas)...","AI's turn (Gold discs)...","Turno de la IA (fichas doradas)..."
"CONNECT4_BTN_VS_AI","🤖 vs IA","🤖 vs AI","🤖 vs IA"
"CONNECT4_BTN_TWO_PLAYERS","👥 2 Jogadores","👥 2 Players","👥 2 Jugadores"
"CONNECT4_PLAYER_TURN","Vez do Jogador %d","Player %d's turn","Turno del jugador %d"
"CONNECT4_WIN_PLAYER","🎉 Vitória do Jogador %d!","🎉 Player %d wins!","🎉 ¡Gana el jugador %d!"
"CONNECT4_WIN_PLAYER_DESC","O Jogador %d conectou quatro fichas.","Player %d connected four discs.","El jugador %d conectó cuatro fichas."
"BTN_RESTART_ICON","🔄 Jogar Novamente","🔄 Play Again","🔄 Jugar de Nuevo"
"RESULT_YOU_WIN","🏆 Você Venceu!","🏆 You Win!","🏆 ¡Ganaste!"
"RESULT_AI_WINS","IA Venceu!","The AI Wins!","¡Gana la IA!"
"RESULT_YOU_WIN_SCORE","🏆 Você Venceu! (%d x %d)","🏆 You Win! (%d x %d)","🏆 ¡Ganaste! (%d x %d)"
"RESULT_AI_WINS_SCORE","IA Venceu! (%d x %d)","The AI Wins! (%d x %d)","¡Gana la IA! (%d x %d)"
"RESULT_DRAW_SCORE","Empate! (%d x %d)","Draw! (%d x %d)","¡Empate! (%d x %d)"
"AI_TURN_SHORT","Vez da IA...","AI's turn...","Turno de la IA..."
"REVERSI_YOUR_TURN","Sua Vez! (Pretas)","Your turn! (Black)","¡Tu turno! (negras)"
"REVERSI_YOUR_TURN_LONG","Sua Vez! (Pretas / Obsidiana)","Your turn! (Black / Obsidian)","¡Tu turno! (negras / obsidiana)"
"REVERSI_AI_TURN","Vez da IA (Brancas)...","AI's turn (White)...","Turno de la IA (blancas)..."
"REVERSI_AI_NO_MOVES","IA sem jogadas! Sua vez novamente.","The AI has no moves! Your turn again.","¡La IA no tiene jugadas! Te toca de nuevo."
"REVERSI_YOU_NO_MOVES","Você sem jogadas! Vez da IA...","You have no moves! AI's turn...","No tienes jugadas. Turno de la IA..."
"REVERSI_INVALID","Aí não vale: a jogada precisa cercar peças brancas entre a sua nova peça e outra preta.","Not there: your move must trap white discs between the new disc and another black one.","Ahí no: la jugada debe encerrar fichas blancas entre tu nueva ficha y otra negra."
"CHECKERS_YOUR_TURN","Sua Vez! (Marfim)","Your turn! (Ivory)","¡Tu turno! (marfil)"
"CHECKERS_AI_TURN","Vez da IA (Obsidiana)...","AI's turn (Obsidian)...","Turno de la IA (obsidiana)..."
"CHECKERS_MUST_CAPTURE","Captura obrigatória: jogue a peça que come.","Capture is mandatory: play the piece that takes.","Captura obligatoria: juega la pieza que come."
"CHECKERS_MUST_CHAIN","Captura múltipla obrigatória!","You must keep capturing!","¡Captura múltiple obligatoria!"
"MANCALA_YOUR_TURN","Sua Vez! Escolha uma cova.","Your turn! Pick a pit.","¡Tu turno! Elige un hoyo."
"MANCALA_YOUR_TURN_LONG","Sua Vez! Escolha uma cova para semear.","Your turn! Pick a pit to sow.","¡Tu turno! Elige un hoyo para sembrar."
"MANCALA_YOUR_STORE","Sua Kalah:\n💎 %d","Your store:\n💎 %d","Tu Kalah:\n💎 %d"
"MANCALA_AI_STORE","Kalah IA:\n💎 %d","AI store:\n💎 %d","Kalah IA:\n💎 %d"
"MANCALA_YOU_CAPTURE","💎 Captura espetacular! +%d gemas!","💎 Spectacular capture! +%d gems!","💎 ¡Captura espectacular! ¡+%d gemas!"
"MANCALA_AI_CAPTURE","IA capturou %d das suas gemas!","The AI captured %d of your gems!","¡La IA capturó %d de tus gemas!"
"MANCALA_FREE_TURN","Última gema caiu na sua Kalah! Jogue novamente.","Last gem landed in your store! Play again.","¡La última gema cayó en tu Kalah! Juega otra vez."
"MANCALA_AI_FREE_TURN","IA jogou no próprio Kalah e joga novamente!","The AI landed in its own store and plays again!","¡La IA cayó en su Kalah y juega otra vez!"
"BTN_NEW_MATCH_ICON","🔄 Nova Partida","🔄 New Match","🔄 Nueva Partida"
"BTN_RESET_ICON","🔄 Reiniciar","🔄 Restart","🔄 Reiniciar"
"RESULT_CONGRATS","🏆 Parabéns!","🏆 Congratulations!","🏆 ¡Felicidades!"
"MINESWEEPER_START","Toque em uma casa para começar!","Tap a square to start!","¡Toca una casilla para empezar!"
"MINESWEEPER_CLEARED","Campo desarmado!","Field cleared!","¡Campo despejado!"
"MINESWEEPER_BOOM","💥 BOOM! Você detonou uma mina!","💥 BOOM! You set off a mine!","💥 ¡BUM! ¡Detonaste una mina!"
"MINESWEEPER_WIN","🏆 Campo 100%% Desarmado! Vitória em %d segundos!","🏆 Field 100%% cleared! Won in %d seconds!","🏆 ¡Campo 100%% despejado! ¡Victoria en %d segundos!"
"MINESWEEPER_MODE_FLAG","Modo: 🚩 Bandeira","Mode: 🚩 Flag","Modo: 🚩 Bandera"
"MINESWEEPER_MODE_DIG","Modo: ⛏️ Revelar","Mode: ⛏️ Dig","Modo: ⛏️ Descubrir"
"PEG_START","Toque em uma esfera para selecionar e saltar!","Tap a peg to select it and jump!","¡Toca una esfera para seleccionarla y saltar!"
"PEG_DROP","Solte a esfera num furo iluminado.","Drop the peg on a lit hole.","Suelta la esfera en un agujero iluminado."
"PEG_NO_JUMPS","Esta esfera não tem saltos possíveis.","This peg has no jumps available.","Esta esfera no tiene saltos posibles."
"PEG_DRAG_HINT","Arraste até um furo iluminado — ou toque nele.","Drag to a lit hole — or just tap it.","Arrastra hasta un agujero iluminado, o tócalo."
"PEG_WIN_PERFECT","🏆 Incrível! Apenas 1 esfera restante! Vitória perfeita!","🏆 Amazing! Just one peg left! Perfect win!","🏆 ¡Increíble! ¡Solo queda una esfera! ¡Victoria perfecta!"
"PEG_GOOD","Muito bem! Restaram apenas %d esferas.","Well done! Only %d pegs left.","¡Muy bien! Solo quedaron %d esferas."
"PEG_OVER","Fim de Jogo! Restaram %d esferas.","Game over! %d pegs left.","¡Fin del juego! Quedaron %d esferas."
"MEMORY_START","Toque em uma carta para começar","Tap a card to start","Toca una carta para empezar"
"MEMORY_SECOND_CARD","Escolha a segunda carta...","Pick the second card...","Elige la segunda carta..."
"MEMORY_PAIR_FOUND","Par encontrado! Continue assim!","Pair found! Keep it up!","¡Pareja encontrada! ¡Sigue así!"
"MEMORY_NO_PAIR","Não foi dessa vez...","Not this time...","No fue esta vez..."
"MEMORY_FIND_PAIRS","Encontre os pares correspondentes","Find the matching pairs","Encuentra las parejas correspondientes"
"MEMORY_ALL_PAIRS","Você encontrou todos os pares!","You found every pair!","¡Encontraste todas las parejas!"
"MEMORY_WIN_DESC","Você encontrou todos os %d pares em %d jogadas!\nClassificação: %s","You found all %d pairs in %d moves!\nRating: %s","¡Encontraste las %d parejas en %d jugadas!\nClasificación: %s"
"MEMORY_BTN_SOLO","🧠 Solo","🧠 Solo","🧠 Solo"
"MEMORY_BTN_TWO_PLAYERS","👥 2 Jogadores","👥 2 Players","👥 2 Jugadores"
"MEMORY_LOCAL_START","Jogador 1 começa — encontre um par","Player 1 starts — find a pair","Empieza el jugador 1 — encuentra una pareja"
"MEMORY_PLAYER_SECOND_CARD","Jogador %d: escolha a segunda carta...","Player %d: pick the second card...","Jugador %d: elige la segunda carta..."
"MEMORY_PLAYER_PAIR_FOUND","Jogador %d encontrou um par! Jogue novamente!","Player %d found a pair! Play again!","¡El jugador %d encontró una pareja! ¡Juega otra vez!"
"MEMORY_PLAYER_TURN","Vez do Jogador %d: encontre um par","Player %d's turn: find a pair","Turno del jugador %d: encuentra una pareja"
"MEMORY_LOCAL_WIN_TITLE","🎉 Vitória do Jogador %d!","🎉 Player %d wins!","🎉 ¡Gana el jugador %d!"
"MEMORY_LOCAL_DRAW_TITLE","🤝 Empate!","🤝 Draw!","🤝 ¡Empate!"
"MEMORY_LOCAL_WIN_DESC","Jogador 1: %d pares • Jogador 2: %d pares\n%d jogadas","Player 1: %d pairs • Player 2: %d pairs\n%d moves","Jugador 1: %d parejas • Jugador 2: %d parejas\n%d jugadas"
"KLONDIKE_START","Paciência Klondike 3D iniciada!","Klondike Solitaire 3D started!","¡Solitario Klondike 3D iniciado!"
"KLONDIKE_DRAG_HINT","Arraste as cartas para as fundações.","Drag the cards to the foundations.","Arrastra las cartas a las fundaciones."
"KLONDIKE_STOCK","Monte","Stock","Mazo"
"KLONDIKE_WASTE","Descarte","Waste","Descarte"
"KLONDIKE_STOCK_COUNT","Monte\n(%d)","Stock\n(%d)","Mazo\n(%d)"
"KLONDIKE_EMPTY","Vazio","Empty","Vacío"
"KLONDIKE_COL_EMPTY","Col %d\n(Vazio)","Col %d\n(Empty)","Col %d\n(Vacía)"
"KLONDIKE_COL_CARD","Col %d\n%s %s","Col %d\n%s %s","Col %d\n%s %s"
"KLONDIKE_STOCK_RESET","Monte reiniciado.","Stock reset.","Mazo reiniciado."
"KLONDIKE_CARD_TURNED","Carta virada do monte.","Card turned from the stock.","Carta volteada del mazo."
"KLONDIKE_PICKED_WASTE","Selecionado: %s %s do descarte.","Selected: %s %s from the waste.","Seleccionado: %s %s del descarte."
"KLONDIKE_PICKED_COL","Selecionado: %s %s da Coluna %d","Selected: %s %s from column %d","Seleccionado: %s %s de la columna %d"
"KLONDIKE_TO_FOUNDATION","Movido para fundação!","Moved to the foundation!","¡Movida a la fundación!"
"KLONDIKE_BAD_FOUNDATION","Jogada inválida para esta fundação.","Invalid move for this foundation.","Jugada inválida para esta fundación."
"KLONDIKE_UNPICKED","Seleção desfeita.","Selection cleared.","Selección deshecha."
"KLONDIKE_BAD_MOVE","Jogada inválida.","Invalid move.","Jugada inválida."
"KLONDIKE_WIN","🏆 Parabéns! Você completou a Paciência 3D!","🏆 Congratulations! You finished Solitaire 3D!","🏆 ¡Felicidades! ¡Completaste el Solitario 3D!"
"SPIDER_HINT","Toque uma coluna para selecionar cartas e depois o destino.","Tap a column to select cards, then tap a destination.","Toca una columna para seleccionar cartas y luego el destino."
"SPIDER_START","Paciência Spider pronta! Feche 8 sequências do Rei ao Ás.","Spider Solitaire ready! Complete 8 King-to-Ace runs.","¡Solitario Spider listo! Completa 8 secuencias del Rey al As."
"SPIDER_DAILY_STARTED","Desafio diário: %d naipe(s). Mesmo quebra-cabeça para todos hoje!","Daily challenge: %d suit(s). The same puzzle for everyone today!","Desafío diario: %d palo(s). ¡El mismo rompecabezas para todos hoy!"
"SPIDER_SUITS_1","1 naipe","1 suit","1 palo"
"SPIDER_SUITS_2","2 naipes","2 suits","2 palos"
"SPIDER_SUITS_3","3 naipes","3 suits","3 palos"
"SPIDER_SUITS_4","4 naipes","4 suits","4 palos"
"SPIDER_DAILY","⭐ Desafio Diário","⭐ Daily Challenge","⭐ Desafío Diario"
"SPIDER_EXIT_DAILY","Voltar ao Clássico","Back to Classic","Volver al Clásico"
"SPIDER_STOCK","Distribuir (%d)","Deal (%d)","Repartir (%d)"
"SPIDER_PROGRESS","Sequências %d/%d  •  Coroas 👑 %d  •  Troféus 🏆 %d  •  Sequência diária %d","Runs %d/%d  •  Crowns 👑 %d  •  Trophies 🏆 %d  •  Daily streak %d","Secuencias %d/%d  •  Coronas 👑 %d  •  Trofeos 🏆 %d  •  Racha diaria %d"
"SPIDER_COL_EMPTY","Coluna %d\nVazia","Column %d\nEmpty","Columna %d\nVacía"
"SPIDER_COL_CARD","C%d\n%s","C%d\n%s","C%d\n%s"
"SPIDER_NO_SEQUENCE","Essa coluna não tem uma sequência móvel.","That column has no movable sequence.","Esa columna no tiene una secuencia móvil."
"SPIDER_SELECTED","%d carta(s) selecionada(s) da coluna %d. Toque no destino.","%d card(s) selected from column %d. Tap a destination.","%d carta(s) seleccionada(s) de la columna %d. Toca un destino."
"SPIDER_UNSELECTED","Seleção desfeita.","Selection cleared.","Selección deshecha."
"SPIDER_BAD_MOVE","Junte apenas a uma carta exatamente um valor acima.","Place it on a card exactly one rank higher.","Colócala sobre una carta exactamente un valor mayor."
"SPIDER_MOVED","Boa jogada! A sequência foi movida.","Nice move! The sequence was moved.","¡Buena jugada! La secuencia se movió."
"SPIDER_NO_STOCK","Não há cartas suficientes para distribuir.","There are not enough cards to deal.","No hay suficientes cartas para repartir."
"SPIDER_NO_EMPTY_DEAL","Preencha todas as colunas antes de distribuir.","Fill every column before dealing.","Completa todas las columnas antes de repartir."
"SPIDER_UNDO_BUTTON","↶ Desfazer","↶ Undo","↶ Deshacer"
"SPIDER_HINT_BUTTON","💡 Dica","💡 Hint","💡 Pista"
"SPIDER_DEALT","Dez novas cartas distribuídas.","Ten new cards dealt.","Diez cartas nuevas repartidas."
"SPIDER_UNDO","Jogada desfeita.","Move undone.","Jugada deshecha."
"SPIDER_HINT_MOVE","Dica: mova a sequência da coluna %d para a coluna %d.","Hint: move the sequence from column %d to column %d.","Pista: mueve la secuencia de la columna %d a la columna %d."
"SPIDER_HINT_DEAL","Dica: distribua dez cartas novas.","Hint: deal ten new cards.","Pista: reparte diez cartas nuevas."
"SPIDER_HINT_NONE","Não encontrei jogadas seguras agora.","No safe moves found right now.","No encontré jugadas seguras ahora."
"SPIDER_WIN","🏆 Você completou a Paciência Spider!","🏆 You completed Spider Solitaire!","🏆 ¡Completaste el Solitario Spider!"
"SPIDER_DAILY_WIN","👑 Desafio vencido! %d coroas • sequência de %d dia(s).","👑 Challenge won! %d crowns • %d-day streak.","👑 ¡Desafío ganado! %d coronas • racha de %d día(s)."
"SPIDER_DAILY_WIN_TROPHY","🏆 Troféu conquistado! %d coroas • sequência de %d dias.","🏆 Trophy earned! %d crowns • %d-day streak.","🏆 ¡Trofeo ganado! %d coronas • racha de %d días."
"NO_MOVES_WITH","Sem movimentos possíveis com %d!","No moves available with %d!","¡Sin movimientos posibles con %d!"
"SENET_YOUR_TURN","Sua Vez! Lance as varetas.","Your turn! Throw the sticks.","¡Tu turno! Lanza las varillas."
"SENET_CAST_HINT","Lance as 4 varetas sagradas","Throw the 4 sacred sticks","Lanza las 4 varillas sagradas"
"SENET_BTN_CAST","🥢 Lançar Varetas","🥢 Throw Sticks","🥢 Lanzar Varillas"
"SENET_STICKS","Varetas: %s (Avanço: %d)","Sticks: %s (Advance: %d)","Varillas: %s (Avance: %d)"
"SENET_PICK_PIECE","Escolha qual peça avançar %d casas:","Choose which piece advances %d squares:","Elige qué pieza avanza %d casillas:"
"SENET_AI_NO_MOVES","IA sem movimentos possíveis!","The AI has no moves!","¡La IA no tiene movimientos!"
"SENET_WIN","🏆 Vitória dos Deuses! Você venceu o Senet 3D!","🏆 Victory of the Gods! You won Senet 3D!","🏆 ¡Victoria de los Dioses! ¡Ganaste el Senet 3D!"
"SENET_LOSE","A IA alcançou a imortalidade primeiro!","The AI reached immortality first!","¡La IA alcanzó la inmortalidad primero!"
"LUDO_P_RED","Jogador (Vermelho)","Player (Red)","Jugador (rojo)"
"LUDO_P_BLUE","IA (Azul)","AI (Blue)","IA (azul)"
"LUDO_P_GREEN","IA (Verde)","AI (Green)","IA (verde)"
"LUDO_P_YELLOW","IA (Amarelo)","AI (Yellow)","IA (amarillo)"
"LUDO_YOUR_TURN","Sua Vez! Toque no dado para rolar.","Your turn! Tap the die to roll.","¡Tu turno! Toca el dado para tirar."
"LUDO_BTN_ROLL","🎲 Rolar Dado","🎲 Roll the Die","🎲 Tirar el Dado"
"LUDO_ROLLING","Rolando dado...","Rolling the die...","Tirando el dado..."
"LUDO_TRY_AGAIN","Tirou %d. Com todos os peões na base só o 6 liberta um — restam %d tentativas.","You rolled %d. With every pawn at home only a 6 frees one — %d tries left.","Sacaste %d. Con todos los peones en casa solo el 6 libera uno — quedan %d intentos."
"LUDO_DICE_VALUE","🎲 Dado: %d","🎲 Die: %d","🎲 Dado: %d"
"LUDO_PICK_PAWN","Escolha qual peão deseja mover:","Choose which pawn to move:","Elige qué peón quieres mover:"
"LUDO_MOVE_PAWN","Mover Peão %d","Move Pawn %d","Mover Peón %d"
"LUDO_ROLLED_SIX","Tirou 6! Você ganha mais um turno.","You rolled a 6! Take another turn.","¡Sacaste un 6! Ganas otro turno."
"LUDO_ROLLED_SIX_AGAIN","%s tirou 6 e joga novamente!","%s rolled a 6 and plays again!","¡%s sacó un 6 y juega otra vez!"
"LUDO_TURN_OF","Vez da %s...","%s's turn...","Turno de %s..."
"LUDO_CAPTURED","💥 Peão capturado e mandado de volta à base!","💥 Pawn captured and sent back to base!","💥 ¡Peón capturado y devuelto a la base!"
"LUDO_WIN","🏆 Parabéns! Você venceu o Ludo 3D!","🏆 Congratulations! You won Ludo 3D!","🏆 ¡Felicidades! ¡Ganaste el Ludo 3D!"
"LUDO_LOSE","%s venceu a partida!","%s won the match!","¡%s ganó la partida!"
"YOUR_TURN_BANG","Sua Vez!","Your turn!","¡Tu turno!"
"LABEL_YOUR_HAND","SUA MÃO","YOUR HAND","TU MANO"
"DOMINO_YOU_OPEN","Você abriu com [%d|%d]! Vez da IA...","You opened with [%d|%d]! AI's turn...","¡Abriste con [%d|%d]! Turno de la IA..."
"DOMINO_AI_OPENS","IA abriu com [%d|%d]! Sua vez.","The AI opened with [%d|%d]! Your turn.","La IA abrió con [%d|%d]. Te toca."
"DOMINO_BONEYARD","Dorme (Monte): %d pedras","Boneyard: %d tiles","Pozo: %d fichas"
"DOMINO_ENDS","Pontas: [ %d ] <---------> [ %d ]","Ends: [ %d ] <---------> [ %d ]","Extremos: [ %d ] <---------> [ %d ]"
"DOMINO_SIDE_LEFT","esquerda","left","izquierda"
"DOMINO_SIDE_RIGHT","direita","right","derecha"
"DOMINO_BTN_LEFT","⬅ Jogar Esq.","⬅ Play Left","⬅ Jugar Izq."
"DOMINO_BTN_RIGHT","Jogar Dir. ➡","Play Right ➡","Jugar Der. ➡"
"DOMINO_BTN_DRAW","📥 Comprar","📥 Draw","📥 Robar"
"DOMINO_BTN_PASS","⏭ Passar","⏭ Pass","⏭ Pasar"
"DOMINO_YOU_DREW","Você comprou uma pedra do monte.","You drew a tile from the boneyard.","Robaste una ficha del pozo."
"DOMINO_YOU_PASSED","Você passou a vez.","You passed your turn.","Pasaste tu turno."
"DOMINO_AI_DREW","IA comprou do monte...","The AI drew from the boneyard...","La IA robó del pozo..."
"DOMINO_AI_PLAYED","IA jogou na ponta %s. Sua vez!","The AI played on the %s end. Your turn!","La IA jugó en el extremo %s. ¡Te toca!"
"DOMINO_AI_PASSED","IA passou a vez. Sua vez!","The AI passed. Your turn!","La IA pasó. ¡Te toca!"
"DOMINO_YOU_WIN","🏆 Você bateu e venceu a partida!","🏆 You went out and won the match!","🏆 ¡Cerraste y ganaste la partida!"
"DOMINO_AI_WIN","A IA bateu e venceu a partida!","The AI went out and won the match!","¡La IA cerró y ganó la partida!"
"DOMINO_LOCK_YOU_WIN","Jogo Fechado! Você venceu por pontos (%d x %d)!","Blocked game! You won on points (%d x %d)!","¡Juego cerrado! ¡Ganaste por puntos (%d x %d)!"
"DOMINO_LOCK_AI_WIN","Jogo Fechado! IA venceu por pontos (%d x %d)!","Blocked game! The AI won on points (%d x %d)!","¡Juego cerrado! ¡La IA ganó por puntos (%d x %d)!"
"DOMINO_LOCK_DRAW","Jogo Fechado! Empate exato de pontos (%d)!","Blocked game! Exact tie on points (%d)!","¡Juego cerrado! ¡Empate exacto de puntos (%d)!"
"BTN_UNDO_ICON","↶ Desfazer","↶ Undo","↶ Deshacer"
"BTN_HINT_ICON","💡 Dica","💡 Hint","💡 Pista"
"BTN_MAIN_MENU_ICON","🏠 Menu Principal","🏠 Main Menu","🏠 Menú Principal"
"XP_EARNED","+%d XP Ganho!","+%d XP earned!","¡+%d XP ganados!"
"HANOI_START","Toque no pino de origem para erguer o disco!","Tap the source peg to lift the disc!","¡Toca el poste de origen para levantar el disco!"
"HANOI_PEG_A","A (Origem)","A (Source)","A (origen)"
"HANOI_PEG_B","B (Auxiliar)","B (Auxiliary)","B (auxiliar)"
"HANOI_PEG_C","C (Destino)","C (Target)","C (destino)"
"HANOI_BTN_PEG_A","Pino A\n(Origem)","Peg A\n(Source)","Poste A\n(origen)"
"HANOI_BTN_PEG_B","Pino B\n(Auxiliar)","Peg B\n(Auxiliary)","Poste B\n(auxiliar)"
"HANOI_BTN_PEG_C","Pino C\n(Destino)","Peg C\n(Target)","Poste C\n(destino)"
"HANOI_PEG_EMPTY","Pino %s está vazio! Escolha um pino com discos.","Peg %s is empty! Pick a peg with discs.","¡El poste %s está vacío! Elige uno con discos."
"HANOI_DISK_LIFTED","Disco %d erguido! Toque no pino de destino.","Disc %d lifted! Tap the target peg.","¡Disco %d levantado! Toca el poste de destino."
"HANOI_DISK_KEPT","Disco mantido no Pino %s.","Disc kept on peg %s.","Disco mantenido en el poste %s."
"HANOI_INVALID","Inválido! Disco %d não cabe sobre o disco %d.","Invalid! Disc %d does not fit on disc %d.","¡Inválido! El disco %d no cabe sobre el disco %d."
"HANOI_UNDONE","Jogada desfeita!","Move undone!","¡Jugada deshecha!"
"HANOI_NO_HINT","Nenhuma dica disponível para a posição atual.","No hint available for this position.","No hay pista disponible para esta posición."
"HANOI_HINT","💡 Dica: Mova o Disco %d do Pino %s para o Pino %s!","💡 Hint: move disc %d from peg %s to peg %s!","💡 Pista: ¡mueve el disco %d del poste %s al poste %s!"
"HANOI_BTN_AUTO","🤖 Auto","🤖 Auto","🤖 Auto"
"HANOI_BTN_STOP","⏹ Parar","⏹ Stop","⏹ Parar"
"HANOI_AUTO_RUNNING","🤖 Solução Automática em andamento (%d passos)...","🤖 Auto-solving (%d steps)...","🤖 Solución automática en curso (%d pasos)..."
"HANOI_AUTO_STOPPED","Solução automática interrompida.","Auto-solve stopped.","Solución automática interrumpida."
"HANOI_MINIMUM","Mínimo","Minimum","Mínimo"
"HANOI_ACCURACY","Precisão","Accuracy","Precisión"
"HANOI_CHALLENGE_DONE","🏆 Desafio Concluído!","🏆 Challenge complete!","🏆 ¡Desafío completado!"
